accession,taxid
KM275376.1,159669
KM347947.1,159666
KM347946.1,1567020
KM347945.1,159666
KM347944.1,159666
KM347943.1,1567020
KM347942.1,1567020
KM347941.1,1567020
KM347940.1,159666
KM347939.1,41554
KM347938.1,159682
KM347937.1,159670
KM347936.1,159685
KM347935.1,41554
KM347934.1,159679
KM347933.1,159667
KM347932.1,159666
KM347931.1,13449
KM347930.1,278104
KM347929.1,159655
KM347928.1,13449
KM347927.1,159666
KM347926.1,159666
KM347925.1,1567019
KM347924.1,159666
KM347923.1,159666
KM347922.1,1567020
KM347921.1,1567020
KM347920.1,1567020
KM347919.1,1567018
KM347918.1,159666
KM347917.1,159685
KM347916.1,159679
KM347915.1,159667
KM347914.1,159666
KM347913.1,13449
KM347912.1,159661
KM347911.1,159670
KJ999344.1,119829
KJ999343.1,119829
KJ999342.1,119829
KJ999341.1,119829
KJ999340.1,119829
KJ999339.1,119829
KJ999338.1,119829
KJ999337.1,119829
KJ999336.1,119829
KJ999335.1,119829
KJ999334.1,649199
KJ999333.1,649199
KJ999332.1,649199
KJ999331.1,649199
KJ999330.1,649199
KJ999329.1,649199
KJ999328.1,649199
KJ999327.1,649199
KJ999326.1,649199
KJ999325.1,649199
KJ999324.1,649199
KJ999323.1,649199
KJ999322.1,649199
KJ999321.1,119829
KJ999320.1,119829
KJ999319.1,119829
KJ999318.1,119829
KJ999317.1,119829
KJ999316.1,119829
KJ999315.1,119829
KJ999314.1,119829
KJ999313.1,119829
KJ999312.1,119829
KJ999308.1,90167
KJ999307.1,90167
KJ999306.1,90167
KJ999305.1,90167
KJ999304.1,90167
KJ999303.1,90167
KJ999302.1,90167
KJ999301.1,119829
KJ999300.1,119829
KJ999299.1,119829
KJ999298.1,119829
KJ999297.1,119829
KJ999296.1,119829
GU818531.1,904693
GU818530.1,904693
GU818529.1,904693
GU818528.1,904693
GU818527.1,904693
GU818526.1,904693
GU818525.1,904693
GU818524.1,904693
GU818523.1,904693
GU818522.1,904693
GU818492.1,55612
KJ587606.1,303144
KJ587605.1,303144
KJ587603.1,947974
KJ587602.1,947974
KJ587601.1,947974
KJ587600.1,1544654
KJ587599.1,1544654
KJ587598.1,1544654
KJ587597.1,947972
KJ587596.1,947972
KJ587595.1,1544655
KJ587594.1,714451
KJ587592.1,947972
KJ587591.1,714451
KF739605.1,1041103
KJ561237.1,1521454
KJ561235.1,430625
KJ561234.1,129741
KF977437.1,312761
KF977436.1,312749
KF977435.1,240691
KF767534.1,4232
KJ143726.1,545222
KJ143720.1,545218
KJ028299.1,310255
KJ028298.1,676128
KJ028297.1,676128
KJ028296.1,129743
KJ028295.1,129743
KJ028294.1,129743
KJ028293.1,310249
KJ028292.1,129751
KJ028291.1,129751
KJ028290.1,129751
KJ028289.1,129749
KJ028288.1,129756
KJ028287.1,129756
KJ028286.1,129756
KJ028285.1,676128
KJ028284.1,293722
KJ028283.1,293722
KJ028280.1,129748
KJ028279.1,129748
KJ028278.1,129748
KJ028277.1,145780
KJ028276.1,145780
KJ028275.1,145780
KJ028274.1,145781
KJ028273.1,145781
KJ028272.1,145781
KJ028271.1,52152
KJ028270.1,52152
KJ028269.1,52152
KJ028268.1,52152
KJ028267.1,129760
KJ028266.1,129760
KJ028265.1,129760
KJ028264.1,763991
KJ028263.1,763991
KJ028262.1,763991
KJ028261.1,52830
KJ028260.1,52830
KJ028259.1,52830
KJ028258.1,52830
KJ028257.1,52830
KJ028256.1,89343
KJ028255.1,89343
KJ028254.1,1076581
KJ028253.1,214848
KJ028252.1,214848
KJ028251.1,214848
KJ028250.1,214848
KJ028249.1,129741
KJ028248.1,129741
KJ028247.1,129741
KJ028246.1,129741
KJ028245.1,129741
KJ028243.1,29675
KJ028242.1,29675
KJ028241.1,29675
KJ028240.1,400237
KJ028239.1,400237
KJ028238.1,400237
KJ028237.1,445761
KF713231.1,52152
KF713230.1,52152
KF713229.1,52152
KF713228.1,52152
KF713227.1,52152
KF713226.1,52152
KF713225.1,52152
KF713224.1,52152
KF713222.1,129744
KF713221.1,129743
KF713220.1,129743
KF713219.1,129743
KF713218.1,129743
KF713217.1,129743
JQ685710.1,1266837
JQ685709.1,1266832
JQ685708.1,1266831
JQ685707.1,1266836
JQ685706.1,1266834
JQ685705.1,1266833
JQ685704.1,1266835
JQ685703.1,1266840
JQ685702.1,1266838
JQ685701.1,1266841
JQ685700.1,1266839
JQ685699.1,1193452
JQ685698.1,1193452
JQ685697.1,1193452
JQ685696.1,1264839
JQ685695.1,1264839
JQ685694.1,1264839
JQ685693.1,1264838
JQ685692.1,1264838
JQ685691.1,1264838
JQ685690.1,1264827
JQ685689.1,1264827
JQ685688.1,1264827
JQ685687.1,1264826
JQ685686.1,1264826
JQ685685.1,1264826
JQ685684.1,1264820
JQ685683.1,1264820
JQ685682.1,1264820
JQ685681.1,1264817
JQ685680.1,1264817
JQ685679.1,1264817
JQ685678.1,1264811
JQ685677.1,1264811
JQ685676.1,1264811
JQ685675.1,1264804
JQ685674.1,1264804
JQ685673.1,1264804
JQ685672.1,1193438
JQ685671.1,1193438
JQ685670.1,1193438
JQ685669.1,1193437
JQ685668.1,1193437
JQ685667.1,1193437
JQ685666.1,666549
JQ685665.1,666549
JQ685664.1,666549
JQ685663.1,1264842
JQ685662.1,1264842
JQ685661.1,1264842
JQ685660.1,1264836
JQ685659.1,1264836
JQ685658.1,1264836
JQ685657.1,1264832
JQ685656.1,1264832
JQ685655.1,1264832
JQ685654.1,1264830
JQ685653.1,1264830
JQ685652.1,1264830
JQ685651.1,1264829
JQ685650.1,1264829
JQ685649.1,1264829
JQ685648.1,1264823
JQ685647.1,1264823
JQ685646.1,1264823
JQ685645.1,1264821
JQ685644.1,1264821
JQ685643.1,1264821
JQ685642.1,1264819
JQ685641.1,1264819
JQ685640.1,1264819
JQ685639.1,1264843
JQ685638.1,1264843
JQ685637.1,1264843
JQ685636.1,1264813
JQ685635.1,1264813
JQ685634.1,1264813
JQ685633.1,20410
JQ685632.1,20410
JQ685631.1,20410
JQ685630.1,1264808
JQ685629.1,1264808
JQ685628.1,1264808
JQ685627.1,1264803
JQ685626.1,1264803
JQ685625.1,1264803
JQ685624.1,1264801
JQ685623.1,1264801
JQ685622.1,1264801
JQ685621.1,1264845
JQ685620.1,1264845
JQ685619.1,1264845
JQ685618.1,1264844
JQ685617.1,1264844
JQ685616.1,1264844
JQ685615.1,1264841
JQ685614.1,1264841
JQ685613.1,1264841
JQ685612.1,1264840
JQ685611.1,1264840
JQ685610.1,1264840
JQ685609.1,144147
JQ685608.1,144147
JQ685607.1,144147
JQ685606.1,1182588
JQ685605.1,1182588
JQ685604.1,1182588
JQ685603.1,1264837
JQ685602.1,1264837
JQ685601.1,1264837
JQ685600.1,1264835
JQ685599.1,1264835
JQ685598.1,1264835
JQ685597.1,1264834
JQ685596.1,1264834
JQ685595.1,1264834
JQ685594.1,1264833
JQ685593.1,1264833
JQ685592.1,1264833
JQ685591.1,1264831
JQ685590.1,1264831
JQ685589.1,1264831
JQ685588.1,1264828
JQ685587.1,1264828
JQ685586.1,1264828
JQ685585.1,1264825
JQ685584.1,1264825
JQ685583.1,1264825
JQ685582.1,1264824
JQ685581.1,1264824
JQ685580.1,1264824
JQ685579.1,1264822
JQ685578.1,1264822
JQ685577.1,1264822
JQ685576.1,144118
JQ685575.1,144118
JQ685574.1,144118
JQ685573.1,20415
JQ685572.1,20415
JQ685571.1,20415
JQ685570.1,1264818
JQ685569.1,1264818
JQ685568.1,1264818
JQ685567.1,1264816
JQ685566.1,1264816
JQ685565.1,1264816
JQ685564.1,1264815
JQ685563.1,1264815
JQ685562.1,1264815
JQ685561.1,1264814
JQ685560.1,1264814
JQ685559.1,1264814
JQ685558.1,1264812
JQ685557.1,1264812
JQ685556.1,1264812
JQ685555.1,1264810
JQ685554.1,1264810
JQ685553.1,1264810
JQ685552.1,1264809
JQ685551.1,1264809
JQ685550.1,1264809
JQ685549.1,1264807
JQ685548.1,1264807
JQ685547.1,1264807
JQ685546.1,144075
JQ685545.1,144075
JQ685544.1,144075
JQ685543.1,1264806
JQ685542.1,1264806
JQ685541.1,1264806
JQ685540.1,1264805
JQ685539.1,1264805
JQ685538.1,1264805
JQ685537.1,1264802
JQ685536.1,1264802
JQ685535.1,1264802
JQ685534.1,1264800
JQ685533.1,1264800
JQ685532.1,1264800
KF163598.1,330585
KF163597.1,330585
JX624140.1,676126
JX624139.1,417387
KC565847.1,713684
KC565846.1,713682
HQ241922.1,1080394
HQ241921.1,1080394
HQ241920.1,1080394
HQ241919.1,1080389
HQ241918.1,1080389
HQ241917.1,1080394
HQ241916.1,1080394
HQ241915.1,1080393
HQ241914.1,1080389
HQ241913.1,1080395
HQ241912.1,1080395
HQ241911.1,1080395
HQ241910.1,1080396
HQ241909.1,1080396
HQ241908.1,1080396
HQ241907.1,1080396
HQ241906.1,1080395
HQ241905.1,1080392
HQ241904.1,1080392
HQ241903.1,713683
HQ241902.1,1080389
HQ241901.1,1080389
HQ241900.1,1080396
HQ241899.1,1080396
HQ241898.1,713683
HQ241897.1,1080396
HQ241896.1,1080392
HQ241895.1,713683
HQ241894.1,713683
HQ241893.1,713683
HQ241892.1,1080393
HQ241891.1,1080392
HQ241890.1,1080392
HQ241889.1,1080393
HQ241888.1,1080393
HQ241887.1,1080390
HQ241886.1,1080390
HQ241885.1,1080390
HQ241884.1,1080390
HQ241883.1,1080390
HQ241882.1,1080392
HQ241881.1,1080391
HQ241880.1,1080391
HQ241879.1,1081652
HQ241878.1,1081652
HQ241877.1,1081652
HQ241876.1,1081652
HQ241875.1,1080392
HQ241874.1,1080392
HQ241873.1,1080391
HQ241872.1,1080392
HQ241871.1,1080392
HQ241870.1,1080392
HQ241869.1,1080391
HQ241868.1,1081652
HQ241867.1,1081652
HQ241866.1,1080392
HQ241865.1,1080392
HQ241864.1,1080392
HQ241863.1,1080392
