Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
Plate1-C10(10)-CRS	Default	6/25/2015	10:58	105.06	2.101	1.090	1.93	1.50	50.00	230	1.397	-0.001
Plate1-C11-CRS	Default	6/25/2015	10:59	30.09	0.602	0.307	1.96	0.84	50.00	230	0.719	-0.028
Plate1-C12-CRS	Default	6/25/2015	11:00	174.97	3.499	1.879	1.86	1.77	50.00	230	1.978	0.051
Plate1-D1-CRS	Default	6/25/2015	11:01	134.91	2.698	1.443	1.87	1.65	50.00	230	1.637	0.093
Plate1-D2-CRS	Default	6/25/2015	11:02	149.15	2.983	1.574	1.90	1.66	50.00	230	1.797	-0.013
Plate1-D3-CRS	Default	6/25/2015	11:03	111.20	2.224	1.191	1.87	1.58	50.00	230	1.404	-0.005
Plate1-D4-CRS	Default	6/25/2015	11:04	44.50	0.890	0.476	1.87	1.01	50.00	230	0.880	0.014
Plate1-D5-CRS	Default	6/25/2015	11:05	36.17	0.723	0.369	1.96	0.88	50.00	230	0.817	-0.003
Plate1-D6-CRS	Default	6/25/2015	11:06	26.90	0.538	0.306	1.76	0.63	50.00	230	0.852	0.155
Plate1-D7-CRS	Default	6/25/2015	11:07	18.93	0.379	0.198	1.92	0.62	50.00	230	0.610	-0.027
Plate1-D8-CRS	Default	6/25/2015	11:08	102.18	2.044	1.320	1.55	0.95	50.00	230	2.148	0.913
Plate1-D10(9)-CRS	Default	6/25/2015	11:09	24.42	0.488	0.268	1.83	0.64	50.00	230	0.769	-0.002
Plate1-D10(9)-CRS	Default	6/25/2015	11:10	23.05	0.461	0.247	1.87	0.62	50.00	230	0.747	0.014
Plate1-D11-CRS	Default	6/25/2015	11:11	23.20	0.464	0.242	1.92	0.69	50.00	230	0.677	-0.032
Plate1-D12-CRS	Default	6/25/2015	11:11	17.17	0.343	0.179	1.92	0.61	50.00	230	0.566	-0.029
Plate1-E1-CRS	Default	6/25/2015	11:29	4.19	0.084	0.041	2.06	0.20	50.00	230	0.428	0.045
Plate1-E2-CRS	Default	6/25/2015	11:31	17.42	0.348	0.180	1.94	0.53	50.00	230	0.661	-0.038
Plate1-E3-CRS	Default	6/25/2015	11:32	24.61	0.492	0.260	1.89	0.61	50.00	230	0.811	-0.016
Plate1-E4-CRS	Default	6/25/2015	11:33	10.77	0.215	0.109	1.97	0.36	50.00	230	0.592	-0.029
Plate1-E5-CRS	Default	6/25/2015	11:34	43.44	0.869	0.475	1.83	0.91	50.00	230	0.955	0.017
Plate1-E6-CRS	Default	6/25/2015	11:34	29.05	0.581	0.331	1.75	0.72	50.00	230	0.809	0.056
Plate1-E7-CRS	Default	6/25/2015	11:36	8.64	0.173	0.098	1.77	0.39	50.00	230	0.443	0.021
Plate1-E8-CRS	Default	6/25/2015	11:36	8.54	0.171	0.096	1.77	0.28	50.00	230	0.621	-0.004
Plate1-E10-CRS	Default	6/25/2015	11:37	39.13	0.783	0.468	1.67	0.74	50.00	230	1.062	0.179
Plate1-E9-CRS	Default	6/25/2015	11:38	38.49	0.770	0.454	1.70	0.72	50.00	230	1.070	0.188
Plate1-E11-CRS	Default	6/25/2015	11:39	20.52	0.410	0.227	1.81	0.53	50.00	230	0.776	-0.012
Plate1-E12-CRS	Default	6/25/2015	11:39	75.97	1.519	0.834	1.82	1.31	50.00	230	1.161	-0.018
Plate1-F1-CRS	Default	6/25/2015	11:43	34.28	0.686	0.374	1.83	0.79	50.00	230	0.870	-0.010
Plate1-F2-CRS	Default	6/25/2015	11:44	5.83	0.117	0.068	1.71	0.30	50.00	230	0.385	-0.004
Plate1-F3-CRS	Default	6/25/2015	11:46	28.59	0.572	0.309	1.85	0.83	50.00	230	0.687	0.084
Plate1-F4-CRS	Default	6/25/2015	11:46	34.64	0.693	0.361	1.92	0.80	50.00	230	0.864	0.009
Plate1-F5-CRS	Default	6/25/2015	11:47	33.05	0.661	0.344	1.92	0.89	50.00	230	0.746	-0.019
Plate1-F6-CRS	Default	6/25/2015	11:48	28.56	0.571	0.315	1.81	0.75	50.00	230	0.764	-0.009
Plate1-F7-CRS	Default	6/25/2015	11:50	145.28	2.906	1.539	1.89	1.72	50.00	230	1.687	0.011
Plate1-F8-CRS	Default	6/25/2015	11:52	43.56	0.871	0.466	1.87	1.06	50.00	230	0.820	-0.009
Plate1-F10-CRS	Default	6/25/2015	11:53	10.69	0.214	0.115	1.87	0.38	50.00	230	0.563	0.018
Plate1-F9-CRS	Default	6/25/2015	11:54	9.74	0.195	0.093	2.10	0.35	50.00	230	0.554	-0.003
Plate1-F11-CRS	Default	6/25/2015	11:55	27.52	0.550	0.295	1.87	0.74	50.00	230	0.744	-0.009
Plate1-F12-CRS	Default	6/25/2015	11:56	3.67	0.073	0.024	3.07	0.23	50.00	230	0.322	-0.008
Plate1-G1-CRS	Default	6/25/2015	11:59	5.38	0.108	0.054	2.00	0.31	50.00	230	0.349	0.019
Plate1-G2-CRS	Default	6/25/2015	11:59	61.54	1.231	0.643	1.91	1.28	50.00	230	0.959	0.016
Plate1-G3-CRS	Default	6/25/2015	12:00	8.42	0.168	0.074	2.27	0.26	50.00	230	0.648	0.004
Plate1-G4-CRS	Default	6/25/2015	12:01	9.22	0.184	0.100	1.85	0.37	50.00	230	0.494	0.003
Plate1-G5-CRS	Default	6/25/2015	12:02	60.47	1.209	0.650	1.86	1.24	50.00	230	0.979	-0.024
Plate1-G6-CRS	Default	6/25/2015	12:03	27.80	0.556	0.296	1.88	0.88	50.00	230	0.630	0.000
Plate1-G7-CRS	Default	6/25/2015	12:05	61.98	1.240	0.648	1.91	1.33	50.00	230	0.935	-0.006
Plate1-G8-CRS	Default	6/25/2015	12:06	37.45	0.749	0.400	1.87	1.00	50.00	230	0.748	-0.004
Plate1-G10-CRS	Default	6/25/2015	12:06	103.04	2.061	1.105	1.86	1.43	50.00	230	1.441	0.041
Plate1-G11-CRS	Default	6/25/2015	12:07	23.32	0.466	0.249	1.87	0.84	50.00	230	0.558	0.005
Plate1-G9-CRS	Default	6/25/2015	12:09	100.60	2.012	1.085	1.85	1.42	50.00	230	1.421	0.028
Plate1-G12-CRS	Default	6/25/2015	12:10	43.48	0.870	0.452	1.92	1.10	50.00	230	0.789	-0.010
Plate1-H1-CRS	Default	6/25/2015	12:12	38.39	0.768	0.414	1.86	1.06	50.00	230	0.724	0.003
Plate1-H2-CRS	Default	6/25/2015	12:13	33.00	0.660	0.336	1.96	1.14	50.00	230	0.577	-0.010
Plate1-H3-CRS	Default	6/25/2015	12:14	20.56	0.411	0.221	1.86	0.77	50.00	230	0.537	-0.013
Plate1-H4-CRS	Default	6/25/2015	12:14	10.05	0.201	0.090	2.24	0.47	50.00	230	0.424	-0.010
Plate1-H5-CRS	Default	6/25/2015	12:15	19.65	0.393	0.205	1.92	0.80	50.00	230	0.489	-0.004
Plate1-H6-CRS	Default	6/25/2015	12:16	3.01	0.060	0.035	1.74	0.17	50.00	230	0.357	0.137
Plate1-H7-CRS	Default	6/25/2015	12:17	43.28	0.866	0.462	1.87	1.22	50.00	230	0.710	0.001
Plate1-H8-CRS	Default	6/25/2015	12:17	19.14	0.383	0.192	1.99	0.76	50.00	230	0.507	-0.017
Plate1-H10-CRS	Default	6/25/2015	12:18	53.18	1.064	0.566	1.88	1.24	50.00	230	0.860	0.109
